"COURSE","GRADE","GPAO","HIGH_SCHOOL_GPA","GENDER","UR_STUDENT_OF_COLOR","FIRST_GENERATION","LOW_INCOME","LETTER_GRADE","LETTER_GRADE_CATEGORY","HIGH_SCHOOL_GPA_CATEGORY","GPAO_LETTER_GRADE","GPAO_LETTER_GRADE_CATEGORY","GRADE_ANOMOLY"
"Entry Bio",3.14189796064944,2.78778743320454,3.85638903948578,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","B","A or B","3.7+","B","A or B",0.3541105274449
"Entry Bio",3.76456523156682,3.33921461781629,3.79339203025899,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","A","A or B","3.7+","B","A or B",0.42535061375053
"Entry Bio",3.85575864459047,3.26597828986468,3.97950410179542,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","A","A or B","3.7+","B","A or B",0.58978035472579
"Entry Bio",3.52937451770739,3.52029985421943,3.91206140070771,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","B","A or B","3.7+","B","A or B",0.00907466348796016
"Entry Bio",3.03117908056827,3.11857025174721,3.88770227470904,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","B","A or B","3.7+","B","A or B",-0.0873911711789397
"Entry Bio",3.54135907763288,2.81854898119641,3.93386118245633,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","B","A or B","3.7+","B","A or B",0.72281009643647
"Entry Bio",3.11784202493295,3.42985475768881,3.96013091366851,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","B","A or B","3.7+","B","A or B",-0.31201273275586
"Entry Bio",3.35587234940736,3.21238479802364,3.87825675486011,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","B","A or B","3.7+","B","A or B",0.14348755138372
"Entry Bio",3.6600991460971,3.8404032783306,3.92729703345144,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","B","A or B","3.7+","A","A or B",-0.1803041322335
"Entry Bio",2.91073096843377,3.23333016981716,3.8971181628518,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","B","A or B","3.7+","B","A or B",-0.32259920138339
"Entry Bio",3.0022656088982,3.55223252503084,3.97885407322157,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","B","A or B","3.7+","B","A or B",-0.54996691613264
"Entry Bio",3.96210909731277,3.13208060804138,3.81169782792743,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","A","A or B","3.7+","B","A or B",0.83002848927139
"Entry Bio",3.54895929898845,3.18782456750046,3.87429454580164,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","B","A or B","3.7+","B","A or B",0.36113473148799
"Entry Bio",3.79893878067708,3.22729106933859,3.9185001660465,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","A","A or B","3.7+","B","A or B",0.57164771133849
"Entry Bio",3.3337335485999,2.86277080622283,3.90908958136695,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","B","A or B","3.7+","B","A or B",0.47096274237707
"Entry Bio",3.85189770237831,3.21942808851881,3.99744740436394,"Female","Non-Underrep. Student of Color","Non-First Generation","Non-Low Income","A","A or B","3.7+","B","A or B",0.6324696138595
